#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC  5258   	 UGC  8645     	13 39 58.0	+00 49 59	 3.0	 1.22	 0.17	154	12.93	     	
IC   4933   	 ESO  185- 55  	20 03 29.3	-54 58 45	 4.2	 1.36	 0.07	  0	12.93	 1.05	13.67
NGC  3158   	 UGC  5511     	10 13 50.8	+38 45 55	-5.0	 1.30	 0.05	   	12.94	 0.90	12.93
NGC  3308   	 ESO  501- 34  	10 36 22.3	-27 26 16	-3.0	 1.23	 0.12	 32	12.94	 1.00	13.43
IC    750   	 UGC  6973     	11 58 51.8	+42 43 20	 2.0	 1.42	 0.35	 43	12.94	     	
NGC  4517A  	 UGC  7685     	12 32 27.9	+00 23 23	 8.0	 1.60	 0.18	 30	12.94	 1.41	15.02
NGC  6239   	 UGC 10577     	16 50 05.5	+42 44 24	 3.0	 1.41	 0.35	118	12.94	 0.81	12.48
NGC  6632   	 UGC 11226     	18 25 03.2	+27 32 05	 4.0	 1.48	 0.33	155	12.94	 1.01	13.48
NGC  7007   	 ESO  187- 48  	21 05 27.7	-52 33 06	-3.0	 1.28	 0.22	  2	12.94	 0.71	11.98
NGC   959   	 UGC  2002     	02 32 24.0	+35 29 42	 8.0	 1.37	 0.21	 65	12.95	 0.98	13.34
IC   2533   	 ESO  435- 27  	10 00 31.6	-31 14 38	-3.0	 1.26	 0.14	  1	12.95	 0.64	11.64
NGC  4085   	 UGC  7075     	12 05 22.9	+50 21 14	 5.0	 1.45	 0.55	 78	12.95	     	
NGC  4915   	 MCG -1-33- 69 	13 01 28.1	-04 32 48	-5.0	 1.21	 0.08	   	12.95	 0.55	11.19
NGC  5670   	 ESO  272- 19  	14 35 36.7	-45 57 58	-2.0	 1.35	 0.37	 74	12.95	 0.76	12.24
            	 ESO  462- 15  	20 23 13.5	-27 42 49	-5.0	 1.24	 0.11	166	12.95	 0.85	12.69
NGC  7173   	 ESO  466- 39  	22 02 03.7	-31 58 25	-4.1	 1.07	 0.13	143	12.95	 0.67	11.79
IC   5156   	 ESO  404- 25  	22 03 14.6	-33 50 15	 1.6	 1.35	 0.44	175	12.95	 0.78	12.34
NGC  7232   	 ESO  289-  7  	22 15 37.6	-45 51 03	 1.0	 1.41	 0.48	 99	12.95	 0.79	12.39
NGC  7632   	 ESO  291- 21  	23 22 01.3	-42 28 44	-2.0	 1.34	 0.31	 92	12.95	 0.89	12.89
NGC  2962   	 UGC  5167     	09 40 54.0	+05 10 00	-1.0	 1.42	 0.13	  3	12.96	 0.89	12.90
NGC  3801   	 UGC  6635     	11 40 16.3	+17 43 42	-2.0	 1.54	 0.22	120	12.96	 1.04	13.65
NGC  4008   	 UGC  6953     	11 58 17.2	+28 11 34	-5.0	 1.39	 0.28	167	12.96	 0.76	12.25
NGC  4648   	 UGC  7868     	12 41 45.4	+74 25 18	-5.0	 1.33	 0.13	 70	12.96	     	
NGC  4747   	 UGC  8005     	12 51 45.3	+25 46 27	 6.0	 1.54	 0.47	 30	12.96	     	
NGC  5188   	 ESO  383-  9  	13 31 28.5	-34 47 44	 2.6	 1.48	 0.43	104	12.96	 0.87	12.80
NGC  5357   	 ESO  445- 78  	13 55 59.5	-30 20 28	-5.0	 1.19	 0.07	 23	12.96	 0.87	12.80
IC   4931   	 ESO  339- 23  	20 00 50.2	-38 34 30	-3.7	 1.38	 0.09	   	12.96	 0.95	13.20
            	 ESO  342- 26  	21 16 46.0	-42 15 38	-2.0	 1.23	 0.25	113	12.96	 0.74	
NGC  7497   	 UGC 12392     	23 09 03.8	+18 10 36	 6.5	 1.69	 0.63	 48	12.96	 1.14	14.15
NGC   214   	 UGC   438     	00 41 28.2	+25 29 59	 5.0	 1.27	 0.13	 35	12.97	 0.79	12.41
NGC   753   	 UGC  1437     	01 57 42.5	+35 54 58	 4.0	 1.40	 0.11	125	12.97	 0.93	13.11
NGC   799   	 UGC  1527     	02 02 12.3	-00 06 03	 0.5	 1.30	 0.06	100	12.97	 0.82	
NGC  1393   	 ESO  548- 58  	03 38 38.6	-18 25 40	-1.9	 1.29	 0.19	170	12.97	 0.85	12.71
NGC  1625   	 MCG -1-12- 38 	04 37 06.4	-03 18 16	 3.0	 1.32	 0.62	140	12.97	 1.12	14.06
NGC  4528   	 UGC  7722     	12 34 06.4	+11 19 21	-2.3	 1.22	 0.21	  5	12.97	     	
NGC  4551   	 UGC  7759     	12 35 38.2	+12 15 56	-5.0	 1.26	 0.10	 70	12.97	 0.64	11.69
NGC  6483   	 ESO  102- 20  	17 59 29.8	-63 40 07	-4.7	 1.19	 0.25	122	12.97	 0.92	13.06
IC   4712   	 ESO   71- 14  	18 31 07.4	-71 41 33	 4.1	 1.36	 0.28	 60	12.97	 0.99	13.41
NGC  7798   	 UGC 12884     	23 59 25.3	+20 45 00	    	 1.14	 0.04	   	12.97	 0.71	12.01
NGC  3512   	 UGC  6128     	11 04 02.4	+28 02 19	 5.0	 1.21	 0.03	   	12.98	 0.97	13.33
NGC  3972   	 UGC  6904     	11 55 46.1	+55 19 07	 4.0	 1.59	 0.56	120	12.98	     	
NGC  4658   	 MCG -2-33-  1 	12 44 37.8	-10 05 03	 4.0	 1.32	 0.35	  3	12.98	 0.77	12.32
A   1243-05 	 MCG -1-33-  3 	12 45 41.3	-06 04 11	 9.0	 1.53	 0.14	140	12.98	     	
NGC  5351   	 UGC  8809     	13 53 28.1	+37 54 52	 3.0	 1.47	 0.28	100	12.98	     	
NGC  7713A  	 ESO  347- 30  	23 37 08.3	-37 42 53	 5.4	 1.25	 0.09	   	12.98	 1.03	13.62
NGC  3185   	 UGC  5554     	10 17 38.7	+21 41 19	 1.0	 1.37	 0.17	130	12.99	     	
NGC  4241   	 UGC  7319     	12 17 25.4	+06 41 26	-1.0	 1.41	 0.28	128	12.99	     	
IC   3392   	 UGC  7602     	12 28 43.7	+15 00 05	 2.5	 1.36	 0.37	 40	12.99	     	
NGC  4522   	 UGC  7711     	12 33 40.0	+09 10 30	 6.0	 1.57	 0.57	 33	12.99	     	
NGC  6555   	 UGC 11121     	18 07 49.1	+17 36 19	 5.0	 1.30	 0.11	110	12.99	 0.88	12.88
NGC    16   	 UGC    80     	00 09 04.7	+27 43 49	-3.0	 1.25	 0.27	 16	13.00	     	
NGC    25   	 ESO  149- 19  	00 09 59.9	-57 01 12	-3.3	 1.14	 0.23	 88	13.00	 0.72	
NGC   731   	 MCG -2- 5- 73 	01 54 56.2	-09 00 39	-3.7	 1.24	 0.00	   	13.00	 0.72	12.12
NGC   788   	 MCG -1- 6- 25 	02 01 06.4	-06 49 01	 0.0	 1.28	 0.12	   	13.00	 0.77	12.34
NGC  1060   	 UGC  2191     	02 43 15.1	+32 25 30	-3.0	 1.36	 0.12	 75	13.00	 0.92	13.09
            	 ESO  300- 14  	03 09 38.0	-41 01 51	 9.0	 1.70	 0.29	166	13.00	     	
IC    391   	 UGC  3190     	04 57 23.1	+78 11 21	 5.0	 1.06	 0.02	   	13.00	     	
NGC  1809   	 ESO   56- 48  	05 02 05.8	-69 34 08	 5.0	 1.50	 0.59	143	13.00	 1.15	14.20
NGC  1824   	 ESO  119- 36  	05 06 56.3	-59 43 26	 9.0	 1.51	 0.58	160	13.00	 1.13	14.15
NGC  2258   	 UGC  3523     	06 47 46.4	+74 28 55	-2.0	 1.36	 0.17	150	13.00	 0.88	12.93
NGC  2441   	 UGC  4036     	07 51 54.7	+73 00 58	 3.0	 1.30	 0.06	   	13.00	     	
NGC  2493   	 UGC  4150     	08 00 23.8	+39 49 49	-2.0	 1.29	 0.00	   	13.00	 0.87	12.84
Holmberg I  	 UGC  5139     	09 40 24.0	+71 11 00	10.0	 1.56	 0.09	   	13.00	 1.56	16.33
NGC  3464   	 ESO  569- 22  	10 54 40.5	-21 03 54	 5.0	 1.41	 0.19	112	13.00	     	
            	 UGC  6510     	11 31 31.8	-02 18 31	 5.5	 1.28	 0.03	 10	13.00	 1.20	14.45
            	 ESO  266- 15  	11 40 56.0	-44 28 50	 4.0	 1.25	 0.25	140	13.00	 0.94	13.19
NGC  4017   	 UGC  6967     	11 58 45.3	+27 27 15	 4.0	 1.25	 0.11	   	13.00	     	
NGC  4215   	 UGC  7281     	12 15 54.7	+06 24 07	-1.0	 1.27	 0.42	174	13.00	     	
NGC  4283   	 UGC  7390     	12 20 21.0	+29 18 40	-5.0	 1.18	 0.01	   	13.00	 0.62	11.59
A   1230+31 	 UGC  7698     	12 32 48.0	+31 32 00	10.0	 1.81	 0.16	   	13.00	 1.56	16.32
            	 ESO  221- 10  	13 50 57.0	-49 03 20	    	 1.14	 0.00	 17	13.00	     	
NGC  5468   	 MCG -1-36-  7 	14 06 34.9	-05 27 13	 6.0	 1.42	 0.04	   	13.00	 0.92	13.08
NGC  5534   	 MCG -1-36- 14 	14 17 40.4	-07 25 03	 1.7	 1.15	 0.23	   	13.00	 0.72	12.09
NGC  5645   	 UGC  9328     	14 30 39.3	+07 16 33	 7.0	 1.38	 0.20	 80	13.00	     	
NGC  6127   	 UGC 10345     	16 19 11.9	+57 59 03	-5.0	 1.15	 0.00	   	13.00	 0.85	12.71
NGC  6654   	 UGC 11238     	18 24 08.8	+73 10 59	 0.0	 1.42	 0.10	  0	13.00	 0.81	12.49
NGC  6674   	 UGC 11308     	18 38 33.7	+25 22 38	 3.0	 1.60	 0.25	143	13.00	 0.96	13.25
NGC  6824   	 UGC 11470     	19 43 41.1	+56 06 39	 3.0	 1.23	 0.16	 60	13.00	 0.61	11.50
            	 ESO  232- 21  	19 44 37.0	-51 36 10	-1.5	 1.24	 0.74	 62	13.00	 0.95	
NGC  6849   	 ESO  339- 32  	20 06 16.3	-40 11 52	-3.0	 1.27	 0.22	 18	13.00	 1.10	13.99
            	 ESO  284- 41  	20 16 18.3	-44 18 03	99.0	 1.10	 0.25	   	13.00	     	
NGC  6962   	 UGC 11628     	20 47 19.0	+00 19 17	 2.0	 1.46	 0.10	 75	13.00	 0.84	12.72
NGC  7309   	 MCG -2-57- 16 	22 34 20.7	-10 21 26	 5.0	 1.29	 0.03	   	13.00	 0.96	13.29
NGC  7469   	 UGC 12332     	23 03 15.6	+08 52 29	 1.0	 1.17	 0.14	125	13.00	 0.23	 9.64
NGC  7690   	 ESO  240-  6  	23 33 02.3	-51 41 49	 3.0	 1.35	 0.41	132	13.00	 0.58	11.34
NGC  7714   	 UGC 12699     	23 36 14.7	+02 09 18	 3.0	 1.28	 0.13	  4	13.00	 0.57	11.34
A   0509-14 	 MCG -2-14-  4 	05 11 40.7	-14 47 21	 5.8	 1.43	 0.12	   	13.01	 1.15	14.25
NGC  2532   	 UGC  4256     	08 10 15.1	+33 57 27	 5.0	 1.34	 0.08	 10	13.01	     	
NGC  2608   	 UGC  4484     	08 35 17.0	+28 28 27	 3.0	 1.36	 0.22	 60	13.01	 0.93	13.15
NGC  4194   	 UGC  7241     	12 14 09.8	+54 31 39	10.0	 1.26	 0.22	   	13.01	 0.40	10.50
NGC  4387   	 UGC  7517     	12 25 41.8	+12 48 42	-5.0	 1.25	 0.21	140	13.01	 0.72	12.05
NGC  4476   	 UGC  7637     	12 29 58.7	+12 20 53	-3.0	 1.23	 0.16	 25	13.01	 0.78	12.42
IC   4585   	 ESO  100-  5  	16 00 16.6	-66 19 23	 3.0	 1.33	 0.52	 45	13.01	 0.91	13.05
IC   4837   	 ESO  184- 46  	19 15 14.5	-54 39 45	 6.0	 1.41	 0.32	  8	13.01	 0.91	13.05
NGC  6890   	 ESO  284- 54  	20 18 17.9	-44 48 25	 3.0	 1.19	 0.10	152	13.01	 0.73	12.08
NGC  7280   	 UGC 12035     	22 26 27.7	+16 08 57	-1.0	 1.34	 0.16	 78	13.01	 0.81	12.55
IC   1796   	 ESO  298- 38  	02 22 47.5	-41 22 17	-2.8	 1.05	 0.08	 86	13.02	 0.56	
NGC  1779   	 MCG -2-13- 41 	05 05 18.1	-09 08 51	 0.0	 1.37	 0.27	135	13.02	 0.82	12.61
Holmberg III	 UGC  4841     	09 14 47.5	+74 13 55	 7.0	 1.45	 0.09	150	13.02	     	
NGC  4470   	 UGC  7627     	12 29 37.9	+07 49 22	 1.0	 1.11	 0.14	  0	13.02	     	
NGC  4839   	 UGC  8070     	12 57 24.3	+27 29 54	-4.0	 1.60	 0.31	 65	13.02	 1.16	14.24
NGC  5129   	 UGC  8423     	13 24 09.8	+13 58 34	-5.0	 1.23	 0.08	 10	13.02	 0.98	13.41
NGC   541   	 UGC  1004     	01 25 44.4	-01 22 42	-3.0	 1.25	 0.01	   	13.03	 1.08	13.92
NGC  3689   	 UGC  6467     	11 28 10.3	+25 39 44	 5.0	 1.22	 0.17	 97	13.03	     	
NGC  3742   	 ESO  320-  6  	11 35 33.0	-37 57 30	 1.5	 1.38	 0.15	116	13.03	 0.91	13.07
NGC  4351   	 UGC  7476     	12 24 01.8	+12 12 24	 2.0	 1.30	 0.17	 80	13.03	     	
NGC  4434   	 UGC  7571     	12 27 36.9	+08 09 18	-5.0	 1.15	 0.01	   	13.03	 0.71	11.97
NGC  5629   	 UGC  9281     	14 28 16.5	+25 50 56	-2.0	 1.26	 0.00	   	13.03	 0.92	13.12
NGC  6875   	 ESO  284- 28  	20 13 12.4	-46 09 38	-3.0	 1.37	 0.27	 22	13.03	 0.59	11.47
NGC  7292   	 UGC 12048     	22 28 25.0	+30 17 30	10.0	 1.33	 0.10	   	13.03	 0.94	13.22
NGC  1358   	 MCG -1-10-  3 	03 33 39.8	-05 05 22	 0.0	 1.41	 0.10	   	13.04	 0.98	13.43
NGC  2798   	 UGC  4905     	09 17 22.9	+42 00 02	 1.0	 1.41	 0.42	160	13.04	 0.60	11.53
NGC  3177   	 UGC  5544     	10 16 34.5	+21 07 29	 3.0	 1.16	 0.09	135	13.04	     	
NGC  4921   	 UGC  8134     	13 01 26.4	+27 53 13	 2.0	 1.39	 0.05	165	13.04	 1.20	14.53
NGC  5612   	 ESO   22-  1  	14 34 02.1	-78 23 18	 2.0	 1.27	 0.29	 63	13.04	 0.68	11.93
NGC   918   	 UGC  1888     	02 25 50.6	+18 29 49	 5.3	 1.54	 0.23	158	13.05	 1.16	14.34
NGC  3285   	 ESO  501- 15  	10 33 35.9	-27 27 18	 1.0	 1.41	 0.23	108	13.05	 0.87	12.89
A   1222+70 	 UGC  7490     	12 24 24.0	+70 19 00	 9.0	 1.52	 0.00	   	13.05	 1.27	14.89
NGC  4488   	 UGC  7653     	12 30 51.4	+08 21 44	 0.0	 1.57	 0.39	  5	13.05	 0.97	13.39
NGC  5302   	 ESO  445- 43  	13 48 49.5	-30 30 42	-1.0	 1.25	 0.21	153	13.05	 0.92	13.14
NGC  5963   	 UGC  9906     	15 33 28.6	+56 33 31	    	 1.52	 0.11	 55	13.05	 0.68	11.94
NGC  6661   	 UGC 11282     	18 34 37.0	+22 54 42	 0.0	 1.24	 0.21	145	13.05	 0.78	12.44
NGC  6776   	 ESO  104- 53  	19 25 19.4	-63 51 41	-4.2	 1.23	 0.07	 15	13.05	 0.77	12.39
IC   5020   	 ESO  400- 34  	20 30 38.1	-33 29 05	 4.0	 1.47	 0.15	153	13.05	 0.84	12.74
A   2103-47 	 ESO  286- 49  	21 06 47.9	-47 11 14	-4.4	 1.12	 0.30	  2	13.05	     	
NGC  7137   	 UGC 11815     	21 48 13.1	+22 09 41	 5.0	 1.21	 0.05	   	13.05	 0.86	12.84
NGC  7385   	 UGC 12207     	22 49 54.7	+11 36 32	-5.0	 1.18	 0.05	   	13.05	 1.10	14.04
NGC   641   	 ESO  244- 42  	01 38 39.4	-42 31 35	-2.8	 1.16	 0.03	   	13.06	 0.89	13.00
NGC  3921   	 UGC  6823     	11 51 06.1	+55 04 39	 0.0	 1.33	 0.21	 20	13.06	 0.86	12.85
NGC  4104   	 UGC  7099     	12 06 38.3	+28 10 31	-2.0	 1.41	 0.22	 35	13.06	 1.06	13.85
NGC  4396   	 UGC  7526     	12 25 59.3	+15 40 19	 7.3	 1.52	 0.53	125	13.06	 1.10	14.08
NGC  4627   	 UGC  7860     	12 41 59.7	+32 34 29	-5.0	 1.41	 0.16	 10	13.06	 1.00	13.55
NGC  5124   	 ESO  444- 27  	13 24 50.6	-30 18 25	-5.0	 1.34	 0.48	  9	13.06	 0.83	12.70
NGC  5633   	 UGC  9271     	14 27 28.9	+46 08 49	 3.0	 1.30	 0.21	 10	13.06	 0.72	12.15
NGC  6721   	 ESO  141- 19  	19 00 50.5	-57 45 28	-4.4	 1.22	 0.07	155	13.06	 0.86	12.85
IC   4806   	 ESO  141- 20  	19 01 30.5	-57 31 55	 3.0	 1.37	 0.61	  9	13.06	 0.71	12.10
NGC  7229   	 ESO  467- 24  	22 14 02.9	-29 23 00	 5.0	 1.26	 0.07	   	13.06	 1.00	13.55
NGC  1401   	 ESO  482- 26  	03 39 21.9	-22 43 25	-2.0	 1.38	 0.57	130	13.07	 0.75	12.31
NGC  1550   	 UGC  3012     	04 19 38.3	+02 24 35	-3.2	 1.35	 0.06	 30	13.07	 0.93	13.21
IC   2233   	 UGC  4278     	08 13 59.0	+45 44 43	 7.0	 1.67	 1.00	172	13.07	 1.24	14.76
NGC  3156   	 UGC  5503     	10 12 41.1	+03 07 50	-2.0	 1.29	 0.24	 47	13.07	 0.68	11.96
NGC  4270   	 UGC  7376     	12 19 48.7	+05 27 52	-2.0	 1.31	 0.35	110	13.07	 0.64	11.80
NGC  5490   	 UGC  9058     	14 09 57.4	+17 32 45	-5.0	 1.38	 0.08	  5	13.07	 0.79	12.51
NGC  7711   	 UGC 12691     	23 35 39.5	+15 18 02	-2.0	 1.42	 0.32	 95	13.07	 0.90	13.06
NGC  1024   	 UGC  2142     	02 39 12.2	+10 50 49	 2.0	 1.59	 0.43	155	13.08	 0.97	13.42
NGC  1620   	 UGC  3103     	04 36 37.5	-00 08 40	 4.3	 1.46	 0.46	 25	13.08	 1.00	13.57
IC    381   	 UGC  3130     	04 44 29.0	+75 38 26	 3.5	 1.38	 0.25	   	13.08	 1.00	13.57
NGC  2599   	 UGC  4458     	08 32 11.2	+22 33 47	 1.0	 1.27	 0.05	   	13.08	 0.75	12.34
A   2120-46 	 ESO  287- 13  	21 23 13.7	-45 46 20	 4.0	 1.50	 0.56	 62	13.08	 0.97	13.42
NGC  7391   	 UGC 12211     	22 50 36.5	-01 32 34	-5.0	 1.23	 0.05	 70	13.08	 0.77	12.42
NGC  7702   	 ESO  192-  9  	23 35 29.1	-56 00 36	-1.0	 1.34	 0.25	117	13.08	 0.80	12.53
NGC  7771   	 UGC 12815     	23 51 25.1	+20 06 49	 1.0	 1.40	 0.39	 68	13.08	     	
NGC  7782   	 UGC 12834     	23 53 54.0	+07 58 17	 3.0	 1.38	 0.27	175	13.08	 0.93	13.22
NGC   755   	 MCG -2- 6-  5 	01 56 22.7	-09 03 43	 3.4	 1.53	 0.49	 45	13.09	 0.90	13.08
A   0811+58 	 UGC  4289     	08 15 42.0	+58 19 00	-5.0	 1.00	 0.09	105	13.09	 0.78	
NGC  4292   	 UGC  7404     	12 21 16.4	+04 35 47	-1.7	 1.22	 0.16	  7	13.09	 0.97	13.43
NGC  4330   	 UGC  7456     	12 23 16.5	+11 22 06	 6.0	 1.65	 0.70	 59	13.09	     	
NGC  4670   	 UGC  7930     	12 45 17.0	+27 07 34	 0.0	 1.16	 0.12	 90	13.09	     	
Holmberg V  	 UGC  8658     	13 40 40.3	+54 20 00	 4.5	 1.39	 0.20	110	13.09	 1.25	14.83
NGC  7233   	 ESO  289-  8  	22 15 48.6	-45 50 51	 0.0	 1.24	 0.14	133	13.09	 0.73	12.23
NGC    80   	 UGC   203     	00 21 11.3	+22 21 29	-2.5	 1.26	 0.03	   	13.10	 0.99	13.54
NGC   178   	 MCG -2- 2- 78 	00 39 08.4	-14 10 23	 9.0	 1.31	 0.32	175	13.10	     	
NGC   406   	 ESO   51- 18  	01 07 24.2	-69 52 35	 5.0	 1.52	 0.42	160	13.10	 0.87	12.91
NGC  1222   	 MCG -1- 9-  5 	03 08 57.4	-02 57 06	-3.0	 1.04	 0.10	   	13.10	     	
NGC  1336   	 ESO  358-  2  	03 26 31.1	-35 42 52	-3.3	 1.33	 0.15	 22	13.10	 1.01	13.65
NGC  1482   	 ESO  549- 33  	03 54 39.4	-20 30 09	-0.8	 1.39	 0.25	103	13.10	 0.98	13.49
A   0447-29 	 ESO  421- 19  	04 49 12.2	-29 12 27	 9.0	 1.43	 0.05	 55	13.10	 1.24	14.75
            	 ESO  122-  1  	06 40 43.4	-58 31 32	 3.0	 1.43	 0.31	  3	13.10	 0.89	13.04
NGC  2273B  	 UGC  3530     	06 46 31.5	+60 20 32	 6.0	 1.43	 0.26	 55	13.10	 1.16	14.39
NGC  2342   	 UGC  3709     	07 09 18.6	+20 38 11	    	 1.14	 0.03	126	13.10	     	
A   0744+74 	 UGC  4028     	07 50 48.3	+74 21 32	 5.0	 1.05	 0.10	 10	13.10	     	
NGC  2551   	 UGC  4362     	08 24 49.3	+73 24 46	 0.2	 1.22	 0.17	 55	13.10	     	
NGC  2990   	 UGC  5229     	09 46 17.6	+05 42 30	 5.0	 1.11	 0.27	 85	13.10	     	
NGC  3203   	 ESO  500- 24  	10 19 34.5	-26 41 53	-1.0	 1.46	 0.69	 58	13.10	 0.72	12.19
NGC  3658   	 UGC  6409     	11 23 58.2	+38 33 48	-2.3	 1.21	 0.04	   	13.10	     	
NGC  3782   	 UGC  6618     	11 39 20.8	+46 30 51	 6.0	 1.22	 0.19	  0	13.10	     	
NGC  4050   	 MCG -3-31- 16 	12 02 54.0	-16 22 28	 2.0	 1.49	 0.17	 85	13.10	 1.00	13.62
NGC  4129   	 MCG -1-31-  6 	12 08 53.2	-09 02 14	 2.0	 1.37	 0.59	 94	13.10	 0.80	12.63
NGC  4415   	 UGC  7540     	12 26 41.0	+08 26 11	 0.0	 1.13	 0.05	  0	13.10	     	
NGC  4500   	 UGC  7667     	12 31 22.3	+57 57 52	 1.0	 1.21	 0.19	130	13.10	     	
            	 UGC  7690     	12 32 26.8	+42 42 15	10.0	 1.23	 0.02	 20	13.10	     	
NGC  4940   	 ESO  269- 42  	13 05 00.5	-47 14 10	 0.5	 1.07	 0.05	   	13.10	     	
NGC  5173   	 UGC  8468     	13 28 25.6	+46 35 33	-5.0	 1.25	 0.03	   	13.10	     	
NGC  5218   	 UGC  8529     	13 32 11.0	+62 46 04	 3.0	 1.26	 0.16	100	13.10	     	
NGC  5406   	 UGC  8925     	14 00 20.7	+38 54 54	 3.5	 1.29	 0.13	120	13.10	     	
NGC  5968   	 ESO  450-  5  	15 39 56.9	-30 33 11	 2.0	 1.32	 0.03	   	13.10	 1.01	13.59
NGC  6690   	 UGC 11300     	18 34 50.4	+70 31 21	 7.0	 1.58	 0.48	171	13.10	 1.00	13.61
            	 ESO  234- 49  	20 35 18.1	-49 51 50	 4.0	 1.22	 0.04	 38	13.10	 0.89	13.04
A   2100-48 	 ESO  235- 42  	21 03 26.5	-48 12 12	 0.0	 1.09	 0.09	  5	13.10	 0.58	
NGC  7065A  	 MCG -1-54- 18 	21 26 57.7	-07 01 20	 5.0	 1.17	 0.04	   	13.10	 1.08	
NGC  7064   	 ESO  188-  9  	21 29 02.4	-52 45 58	 5.0	 1.58	 0.79	 91	13.10	     	
NGC  7124   	 ESO  237-  2  	21 48 05.7	-50 33 51	 4.0	 1.47	 0.37	143	13.10	 1.04	13.64
NGC  7155   	 ESO  237- 16  	21 56 09.7	-49 31 14	-1.8	 1.34	 0.09	  4	13.10	 0.61	11.69
NGC  7162A  	 ESO  288- 28  	22 00 35.5	-43 08 28	 9.0	 1.42	 0.06	 70	13.10	     	
NGC   125   	 UGC   286     	00 28 50.4	+02 50 23	-1.0	 1.22	 0.05	 85	13.11	 0.98	13.50
NGC   227   	 UGC   456     	00 42 36.5	-01 31 36	-3.4	 1.21	 0.11	155	13.11	 0.73	12.25
NGC  1483   	 ESO  201-  7  	03 52 47.8	-47 28 39	 4.2	 1.21	 0.08	125	13.11	 0.90	13.10
NGC  2993   	 MCG -2-25- 15 	09 45 48.4	-14 22 08	 1.0	 1.13	 0.16	   	13.11	 0.44	10.80
NGC  2998   	 UGC  5250     	09 48 43.7	+44 04 52	 5.0	 1.46	 0.33	 53	13.11	 0.89	13.05
NGC  3907   	 UGC  6796     	11 49 29.7	-01 05 08	-2.5	 1.07	 0.14	 40	13.11	 0.76	
NGC  4830   	 ESO  575- 37  	12 57 27.6	-19 41 30	-2.5	 1.27	 0.20	157	13.11	 0.74	12.30
NGC  5306   	 MCG -1-35- 14 	13 49 11.3	-07 13 28	-2.0	 1.15	 0.11	   	13.11	     	
NGC  5936   	 UGC  9867     	15 30 01.3	+12 59 26	 3.0	 1.16	 0.05	   	13.11	     	
NGC  5966   	 UGC  9923     	15 35 53.3	+39 46 11	-5.0	 1.26	 0.21	 90	13.11	 0.99	13.55
NGC  6869   	 UGC 11506     	20 00 36.0	+66 13 00	-2.0	 1.19	 0.07	   	13.11	 0.85	12.85
NGC  7156   	 UGC 11843     	21 54 33.2	+02 56 38	 6.0	 1.21	 0.06	105	13.11	 0.93	13.25
NGC    59   	 ESO  539-  4  	00 15 25.2	-21 26 38	-2.5	 1.42	 0.30	127	13.12	 0.86	12.91
NGC   418   	 ESO  412-  9  	01 10 36.1	-30 13 15	 5.0	 1.31	 0.07	   	13.12	 1.02	13.71
